trade_date,symbol,name,open_price,close_price,high_price,low_price,volume,turnover
2024-06-03,600519,贵州茅台,1650.00,1639.39,1650.92,1635.11,30261,4966041477
2024-06-04,600519,贵州茅台,1640.50,1653.20,1656.00,1636.55,20841,3432497303
2024-06-05,600519,贵州茅台,1652.00,1644.00,1658.68,1643.03,19056,3140824328
2024-06-06,600519,贵州茅台,1643.66,1639.81,1651.99,1635.91,25610,4205700983
2024-06-07,600519,贵州茅台,1646.13,1619.18,1646.18,1619.01,33525,5453120695
